date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-01 09:20:00,75508.0,24626.0,178108.0,179102.0,31013.0,1623037,718524,371525,0
2021-02-01 09:30:00,79572.0,24599.0,193166.0,193898.0,33010.0,1635255,720082,399037,0
2021-02-01 09:40:00,84701.0,23731.0,203166.0,204314.0,34171.0,1636527,716520,411095,0
2021-02-01 09:50:00,88856.0,24163.0,212489.0,212406.0,36301.0,1649764,727755,433183,0
2021-02-01 10:00:00,95996.0,25792.0,233656.0,234550.0,39247.0,1658366,728645,478584,0
2021-02-01 10:10:00,97205.0,24498.0,239043.0,240210.0,39887.0,1610437,699972,481461,0
2021-02-01 10:20:00,99949.0,24700.0,238121.0,238443.0,40675.0,1601760,692807,485678,0
2021-02-01 10:30:00,103893.0,24626.0,250885.0,251562.0,42162.0,1618201,700941,507867,0
2021-02-01 10:40:00,103319.0,24269.0,248493.0,249793.0,42219.0,1611143,691337,506130,0
2021-02-01 10:50:00,106068.0,24548.0,254503.0,255844.0,42941.0,1627837,698618,517300,0
2021-02-01 11:00:00,108212.0,24295.0,262109.0,262633.0,43746.0,1633279,700801,533082,0
2021-02-01 11:10:00,107538.0,23823.0,260355.0,260681.0,43486.0,1621724,693239,526072,0
2021-02-01 11:20:00,105595.0,23498.0,253815.0,253652.0,42617.0,1634745,703722,526111,0
2021-02-01 11:30:00,105080.0,24139.0,256017.0,256449.0,42583.0,1674709,732462,529497,0
2021-02-01 11:40:00,102889.0,23917.0,250244.0,249541.0,41486.0,1689165,741797,513623,0
2021-02-01 11:50:00,98435.0,23922.0,237341.0,238181.0,40263.0,1744266,777572,505687,0
2021-02-01 12:00:00,94708.0,24730.0,231427.0,231948.0,38568.0,1809558,824917,486106,0
2021-02-01 12:10:00,88296.0,23610.0,217437.0,218988.0,35577.0,1736573,782009,456978,0
2021-02-01 12:20:00,86798.0,23576.0,211373.0,211135.0,35043.0,1735228,788986,449221,0
2021-02-01 12:30:00,87748.0,23829.0,217909.0,218226.0,34928.0,1761257,803791,448969,0
2021-02-01 12:40:00,87857.0,23917.0,216847.0,218341.0,34993.0,1751232,796309,445561,0
2021-02-01 12:50:00,89391.0,24670.0,219499.0,220275.0,35788.0,1810941,835845,459163,0
2021-02-01 13:00:00,96031.0,25123.0,238410.0,239339.0,38290.0,1825710,841068,498994,0
2021-02-01 13:10:00,97806.0,24441.0,246389.0,247245.0,39272.0,1736602,782022,503993,0
2021-02-01 13:20:00,99944.0,24509.0,244990.0,246207.0,40299.0,1729866,774317,502686,0
2021-02-01 13:30:00,101630.0,24182.0,247021.0,247909.0,41041.0,1731448,773305,508013,0
2021-02-01 13:40:00,102419.0,23930.0,249496.0,250639.0,40942.0,1722035,762439,511794,0
2021-02-01 13:50:00,103139.0,23668.0,252665.0,254745.0,41320.0,1735942,768725,514171,0
2021-02-01 14:00:00,103320.0,23690.0,251470.0,253776.0,42089.0,1754014,774408,522544,0
2021-02-01 14:10:00,103714.0,23785.0,253509.0,255170.0,41288.0,1709882,747583,519432,0
2021-02-01 14:20:00,102069.0,23343.0,250301.0,251497.0,41139.0,1695117,745097,514129,0
2021-02-01 14:30:00,103050.0,23759.0,252144.0,254003.0,40931.0,1706506,749480,515007,0
2021-02-01 14:40:00,102681.0,23508.0,251406.0,252484.0,40934.0,1703647,745536,516319,0
2021-02-01 14:50:00,103853.0,24355.0,253783.0,255631.0,41429.0,1733991,768234,519033,0
2021-02-01 15:00:00,105030.0,24882.0,260113.0,260811.0,42498.0,1766485,784334,534358,0
2021-02-01 15:10:00,103133.0,24584.0,254665.0,256334.0,41674.0,1742919,769312,520372,0
2021-02-01 15:20:00,102162.0,24603.0,253674.0,254646.0,41245.0,1726467,765481,516851,0
2021-02-01 15:30:00,103574.0,24994.0,253159.0,254468.0,41302.0,1745673,780220,523720,0
2021-02-01 15:40:00,102709.0,24679.0,251913.0,253128.0,41411.0,1740815,778108,519680,0
2021-02-01 15:50:00,103481.0,25131.0,252287.0,253375.0,41703.0,1759187,792013,521827,0
2021-02-01 16:00:00,103926.0,25579.0,249278.0,250511.0,41863.0,1783238,808379,527973,0
2021-02-01 16:10:00,102850.0,25199.0,249673.0,250995.0,40946.0,1761204,790593,520002,0
2021-02-01 16:20:00,102855.0,24831.0,249057.0,249119.0,41030.0,1747217,783912,517049,0
2021-02-01 16:30:00,102955.0,25801.0,248481.0,249570.0,41071.0,1754598,795326,522250,0
2021-02-01 16:40:00,102164.0,25241.0,247068.0,248197.0,40339.0,1752031,792814,515824,0
2021-02-01 16:50:00,102844.0,25408.0,247777.0,249323.0,40594.0,1775441,808628,522251,0
2021-02-01 17:00:00,106171.0,26439.0,258502.0,259189.0,42295.0,1841198,849919,547174,0
2021-02-01 17:10:00,103084.0,25740.0,253641.0,254660.0,40833.0,1813484,835269,533715,0
2021-02-01 17:20:00,100618.0,26201.0,246631.0,247885.0,39621.0,1797552,826520,520706,0
