date,C1,C2,C3,C4,C5,C6,C7,C8,label
2021-05-01 09:10:00,80605.0,38227.0,288426.0,288595.0,42446.0,3587892,1356788,522578,0
2021-05-01 09:20:00,83831.0,37505.0,300286.0,300429.0,43517.0,3666757,1380292,526392,0
2021-05-01 09:30:00,88932.0,36720.0,322038.0,322158.0,45448.0,3694934,1409844,561903,0
2021-05-01 09:40:00,93491.0,36334.0,348497.0,349631.0,47746.0,3727481,1445300,579238,0
2021-05-01 09:50:00,99838.0,36503.0,376101.0,377461.0,50660.0,3779815,1496090,642157,0
2021-05-01 10:00:00,105543.0,37360.0,399361.0,402155.0,55380.0,3824792,1529986,735992,0
2021-05-01 10:10:00,104242.0,36102.0,378394.0,379091.0,54017.0,3792597,1506217,708196,0
2021-05-01 10:20:00,106456.0,36115.0,380241.0,380047.0,54169.0,3814824,1515041,701545,0
2021-05-01 10:30:00,106673.0,35560.0,382067.0,384016.0,53853.0,3852535,1527743,696169,0
2021-05-01 10:40:00,105436.0,35698.0,378534.0,379500.0,53793.0,3847808,1531581,683401,0
2021-05-01 10:50:00,109056.0,35061.0,392098.0,392101.0,54950.0,3888719,1564844,694162,0
2021-05-01 11:00:00,110750.0,35739.0,396617.0,397294.0,55864.0,3895334,1564665,738146,0
2021-05-01 11:10:00,107822.0,34487.0,400152.0,402375.0,55062.0,3878328,1539845,726876,0
2021-05-01 11:20:00,108337.0,34644.0,396219.0,398940.0,55138.0,3894087,1550047,726682,0
2021-05-01 11:30:00,109855.0,34258.0,404557.0,407560.0,55225.0,3930467,1574526,741157,0
2021-05-01 11:40:00,106290.0,33662.0,394133.0,397126.0,54388.0,3939416,1569690,725736,0
2021-05-01 11:50:00,108033.0,33937.0,393153.0,395172.0,54184.0,3964977,1604602,723960,0
2021-05-01 12:00:00,108026.0,34846.0,399039.0,401500.0,54738.0,4008945,1630642,737916,0
2021-05-01 12:10:00,104560.0,33430.0,383859.0,388053.0,52926.0,3969103,1607702,723285,0
2021-05-01 12:20:00,104966.0,32681.0,389752.0,392987.0,51826.0,3967198,1603813,729309,0
2021-05-01 12:30:00,102999.0,32289.0,383337.0,386506.0,51343.0,3978254,1608846,724070,0
2021-05-01 12:40:00,101334.0,31628.0,375753.0,379016.0,50079.0,3971725,1598875,697227,0
2021-05-01 12:50:00,101362.0,31586.0,377228.0,378389.0,50344.0,4009216,1623553,692509,0
2021-05-01 13:00:00,102441.0,32164.0,378596.0,380878.0,49671.0,4034767,1649852,698827,0
2021-05-01 13:10:00,98515.0,30919.0,365468.0,368999.0,48601.0,3997144,1618633,683455,0
2021-05-01 13:20:00,97002.0,30779.0,357376.0,362394.0,48394.0,3991170,1606689,666965,0
2021-05-01 13:30:00,98001.0,30687.0,364454.0,367100.0,47884.0,3988655,1605429,662020,0
2021-05-01 13:40:00,97120.0,30858.0,359910.0,362612.0,47441.0,3972650,1589352,654767,0
2021-05-01 13:50:00,96746.0,30038.0,360092.0,362178.0,47462.0,3994024,1606976,657760,0
2021-05-01 14:00:00,99060.0,31503.0,366263.0,369409.0,48270.0,4021121,1622846,672543,0
2021-05-01 14:10:00,96349.0,30478.0,359281.0,362423.0,46253.0,3974728,1591160,649201,0
2021-05-01 14:20:00,94792.0,30911.0,351995.0,354975.0,46259.0,3949494,1579529,639677,0
2021-05-01 14:30:00,96938.0,30608.0,360659.0,362476.0,46555.0,3959166,1582098,646830,0
2021-05-01 14:40:00,94671.0,30432.0,352456.0,355758.0,45536.0,3948366,1574930,640510,0
2021-05-01 14:50:00,92907.0,30232.0,342974.0,347057.0,45794.0,3952432,1595058,647615,0
2021-05-01 15:00:00,94388.0,31343.0,352170.0,355570.0,45934.0,3976455,1595165,652041,0
2021-05-01 15:10:00,91231.0,30444.0,340753.0,345038.0,44319.0,3941269,1573001,640092,0
2021-05-01 15:20:00,91123.0,31227.0,338140.0,343081.0,44444.0,3934882,1570692,635842,0
2021-05-01 15:30:00,91467.0,31157.0,339481.0,342971.0,44370.0,3922801,1569109,636764,0
2021-05-01 15:40:00,93313.0,30565.0,346034.0,349020.0,44531.0,3916792,1561635,634860,0
2021-05-01 15:50:00,93761.0,30932.0,350057.0,351559.0,44946.0,3924181,1569756,630477,0
2021-05-01 16:00:00,93577.0,31443.0,347355.0,350432.0,45000.0,3941446,1578328,643151,0
2021-05-01 16:10:00,92615.0,30736.0,344291.0,347224.0,43680.0,3924470,1569246,635195,0
2021-05-01 16:20:00,92189.0,30453.0,343241.0,344966.0,43406.0,3909927,1557515,625534,0
2021-05-01 16:30:00,91394.0,30738.0,341501.0,343188.0,43536.0,3912408,1563313,637654,0
2021-05-01 16:40:00,91173.0,30782.0,341979.0,344702.0,43067.0,3907631,1564857,638097,0
2021-05-01 16:50:00,91549.0,31214.0,340909.0,344886.0,43227.0,3938425,1585669,648786,0
2021-05-01 17:00:00,95166.0,34371.0,353111.0,355420.0,44650.0,4013163,1641063,670901,0
2021-05-01 17:10:00,93913.0,33423.0,353654.0,355009.0,43372.0,3966049,1619838,649271,0
2021-05-01 17:20:00,93071.0,33285.0,350928.0,353373.0,42780.0,3966794,1613752,646638,0
2021-05-01 17:30:00,91440.0,33676.0,342384.0,344720.0,42429.0,3967153,1617644,648661,0
2021-05-01 17:40:00,91057.0,32991.0,340638.0,343572.0,42085.0,3930630,1600194,639370,0
2021-05-01 17:50:00,90333.0,33156.0,340913.0,342573.0,41427.0,3929245,1600114,632082,0
2021-05-01 18:00:00,90039.0,32890.0,338134.0,339431.0,42217.0,3950546,1612359,649658,0
2021-05-01 18:10:00,88137.0,32139.0,338033.0,339932.0,40525.0,3887342,1565366,630865,0
2021-05-01 18:20:00,85287.0,32217.0,325405.0,327885.0,39260.0,3831434,1521550,610270,0
2021-05-01 18:30:00,85452.0,32508.0,325387.0,328182.0,38718.0,3807358,1494310,601080,0
2021-05-01 18:40:00,82338.0,31410.0,313883.0,315878.0,37346.0,3758770,1456540,583030,0
2021-05-01 18:50:00,82966.0,31624.0,315473.0,316887.0,37531.0,3726420,1434794,580757,0
