date,B1,B2,B3,B4,B5,B6,B7,B8,label
2021-05-01 09:10:00,34140.0,16571.0,122308.0,123344.0,18143.0,1482402,532604,279892,0
2021-05-01 09:20:00,35961.0,15764.0,130649.0,130962.0,18933.0,1501252,543362,289610,0
2021-05-01 09:30:00,37482.0,16112.0,137853.0,138850.0,20151.0,1514578,569407,306653,0
2021-05-01 09:40:00,39827.0,15388.0,148970.0,149386.0,21285.0,1527628,577634,322291,0
2021-05-01 09:50:00,42194.0,16298.0,160197.0,162151.0,22905.0,1559610,592495,344845,0
2021-05-01 10:00:00,45933.0,16137.0,174217.0,176316.0,24827.0,1571192,602360,382375,0
2021-05-01 10:10:00,45520.0,15702.0,163286.0,165000.0,24032.0,1554660,583022,372761,0
2021-05-01 10:20:00,45572.0,14862.0,162932.0,162987.0,24234.0,1555452,583923,375889,0
2021-05-01 10:30:00,46109.0,15104.0,166530.0,166521.0,24417.0,1574879,588133,383100,0
2021-05-01 10:40:00,46606.0,14860.0,167802.0,168819.0,24306.0,1563988,587304,381086,0
2021-05-01 10:50:00,47921.0,14815.0,171990.0,173786.0,24650.0,1584981,598249,390845,0
2021-05-01 11:00:00,48014.0,14654.0,170854.0,172635.0,25356.0,1593212,600508,414709,0
2021-05-01 11:10:00,47351.0,14182.0,173607.0,175882.0,24751.0,1575471,589739,409720,0
2021-05-01 11:20:00,47094.0,14222.0,170928.0,172691.0,24654.0,1580670,592245,411608,0
2021-05-01 11:30:00,47937.0,14263.0,175102.0,176129.0,25041.0,1586155,599578,418755,0
2021-05-01 11:40:00,47452.0,13910.0,174428.0,175667.0,24693.0,1599591,599799,415916,0
2021-05-01 11:50:00,47933.0,14358.0,174759.0,176562.0,24612.0,1604995,615412,416750,0
2021-05-01 12:00:00,47362.0,14402.0,173325.0,175313.0,24354.0,1632830,627710,426013,0
2021-05-01 12:10:00,46698.0,14138.0,169372.0,171452.0,24176.0,1622620,617848,420236,0
2021-05-01 12:20:00,45912.0,13545.0,170387.0,171244.0,23374.0,1612344,610767,418586,0
2021-05-01 12:30:00,45101.0,13828.0,165408.0,167245.0,23030.0,1621434,618764,419432,0
2021-05-01 12:40:00,45063.0,13600.0,164573.0,168089.0,22749.0,1619636,615367,407605,0
2021-05-01 12:50:00,44734.0,13733.0,164377.0,165973.0,22739.0,1628107,622137,404973,0
2021-05-01 13:00:00,44435.0,13394.0,164725.0,165556.0,22942.0,1641673,629143,409404,0
2021-05-01 13:10:00,43396.0,13256.0,160024.0,162100.0,22455.0,1624686,618758,401193,0
2021-05-01 13:20:00,43050.0,13167.0,158571.0,159431.0,22067.0,1612841,611183,393026,0
2021-05-01 13:30:00,43166.0,13406.0,160185.0,161754.0,22032.0,1616086,611208,390699,0
2021-05-01 13:40:00,42566.0,13046.0,157904.0,159417.0,21562.0,1612034,608156,389482,0
2021-05-01 13:50:00,43858.0,13302.0,159052.0,161056.0,21697.0,1625422,611496,391230,0
2021-05-01 14:00:00,43369.0,13526.0,161260.0,162278.0,22248.0,1624886,618730,395605,0
2021-05-01 14:10:00,42400.0,13079.0,158174.0,159232.0,21263.0,1609140,604947,385498,0
2021-05-01 14:20:00,42905.0,12902.0,157744.0,159339.0,21258.0,1602208,597461,380225,0
2021-05-01 14:30:00,42666.0,13004.0,156304.0,158505.0,21401.0,1604014,600651,383492,0
2021-05-01 14:40:00,42371.0,12780.0,157230.0,158524.0,20889.0,1598766,597835,380445,0
2021-05-01 14:50:00,42039.0,13377.0,154476.0,155671.0,21050.0,1599359,602889,383504,0
2021-05-01 15:00:00,41328.0,13238.0,153230.0,154894.0,20847.0,1620332,605930,387968,0
2021-05-01 15:10:00,41033.0,13303.0,151261.0,153346.0,20519.0,1595465,597405,378204,0
2021-05-01 15:20:00,40581.0,13206.0,151233.0,152561.0,20170.0,1594575,596906,378374,0
2021-05-01 15:30:00,40852.0,13361.0,150620.0,152315.0,20358.0,1592566,597336,380315,0
2021-05-01 15:40:00,42664.0,13509.0,156439.0,157729.0,21131.0,1591679,597013,376776,0
2021-05-01 15:50:00,42229.0,13754.0,156840.0,157969.0,20998.0,1597494,602370,377400,0
2021-05-01 16:00:00,42049.0,13428.0,154098.0,156342.0,20751.0,1608602,607939,383994,0
2021-05-01 16:10:00,42025.0,13451.0,155878.0,157199.0,20443.0,1601884,604751,378805,0
2021-05-01 16:20:00,41713.0,13617.0,154935.0,155800.0,19884.0,1591808,599951,374564,0
2021-05-01 16:30:00,40496.0,13675.0,150590.0,152706.0,19866.0,1594766,603012,378698,0
2021-05-01 16:40:00,41412.0,13660.0,152573.0,155101.0,19895.0,1596382,605752,382835,0
2021-05-01 16:50:00,40864.0,13938.0,151615.0,152735.0,19886.0,1616056,619751,393841,0
2021-05-01 17:00:00,41968.0,15551.0,154267.0,156272.0,20645.0,1647425,645933,403169,0
2021-05-01 17:10:00,42119.0,15515.0,156784.0,159148.0,20104.0,1643343,637326,393610,0
2021-05-01 17:20:00,41673.0,14614.0,157651.0,158934.0,19737.0,1623928,634281,389930,0
2021-05-01 17:30:00,41817.0,14600.0,156055.0,157313.0,19809.0,1627351,637215,394729,0
2021-05-01 17:40:00,41008.0,14214.0,154453.0,155312.0,19150.0,1620800,634422,386635,0
2021-05-01 17:50:00,40243.0,14559.0,153123.0,154371.0,19315.0,1625697,638736,384050,0
2021-05-01 18:00:00,40493.0,14583.0,150149.0,152227.0,19239.0,1640346,645285,393324,0
2021-05-01 18:10:00,39017.0,14114.0,147368.0,148141.0,18720.0,1613753,626852,378969,0
2021-05-01 18:20:00,38634.0,13764.0,146086.0,147034.0,18206.0,1604125,611666,369602,0
2021-05-01 18:30:00,37351.0,14031.0,142470.0,143499.0,17811.0,1584227,605464,359822,0
2021-05-01 18:40:00,36264.0,13759.0,137404.0,138936.0,17671.0,1569399,593812,350569,0
2021-05-01 18:50:00,37515.0,13710.0,140946.0,142093.0,17354.0,1561056,585036,348931,0
