date,B1,B2,B3,B4,B5,B6,B7,B8,label
2021-02-01 09:10:00,56054.0,18448.0,189413.0,191031.0,32072.0,1641280,640664,396461,0
2021-02-01 09:20:00,60086.0,17814.0,203919.0,205687.0,33920.0,1631247,631087,412880,0
2021-02-01 09:30:00,64483.0,17703.0,225074.0,226131.0,36231.0,1643554,633376,442527,0
2021-02-01 09:40:00,66635.0,17235.0,231382.0,232546.0,38256.0,1638855,626798,455353,0
2021-02-01 09:50:00,70611.0,17723.0,240917.0,242645.0,39561.0,1652652,631986,480317,0
2021-02-01 10:00:00,76092.0,18340.0,265605.0,267774.0,43010.0,1688148,639910,537717,0
2021-02-01 10:10:00,76639.0,17840.0,268126.0,270186.0,43480.0,1627243,602919,537081,0
2021-02-01 10:20:00,78744.0,17647.0,265174.0,267300.0,43862.0,1593009,592231,538933,0
2021-02-01 10:30:00,80947.0,17926.0,278180.0,280284.0,45853.0,1608132,599315,569183,0
2021-02-01 10:40:00,81819.0,17376.0,282021.0,284507.0,45577.0,1597954,588293,564107,0
2021-02-01 10:50:00,83106.0,17386.0,281813.0,283408.0,45755.0,1604031,590083,574387,0
2021-02-01 11:00:00,85357.0,17572.0,293133.0,296162.0,47232.0,1627132,592853,596797,0
2021-02-01 11:10:00,84125.0,17077.0,287551.0,290682.0,46662.0,1623019,587132,586973,0
2021-02-01 11:20:00,83523.0,16887.0,284557.0,287140.0,46325.0,1617636,595578,580871,0
2021-02-01 11:30:00,82726.0,17002.0,287011.0,289855.0,46013.0,1625567,616250,585886,0
2021-02-01 11:40:00,81204.0,16904.0,278863.0,281892.0,45344.0,1649042,619759,575179,0
2021-02-01 11:50:00,79830.0,17379.0,271992.0,274601.0,44344.0,1688816,648411,565928,0
2021-02-01 12:00:00,76713.0,17630.0,263282.0,265120.0,42613.0,1749643,689023,554901,0
2021-02-01 12:10:00,73235.0,17196.0,257249.0,257928.0,40305.0,1711132,657217,526197,0
2021-02-01 12:20:00,71517.0,16952.0,248572.0,250919.0,38990.0,1720661,665384,517025,0
2021-02-01 12:30:00,71272.0,17360.0,251816.0,254298.0,38788.0,1727840,683765,515491,0
2021-02-01 12:40:00,71717.0,17424.0,250578.0,252381.0,38883.0,1704739,674847,511917,0
2021-02-01 12:50:00,73673.0,17828.0,253405.0,256579.0,39676.0,1760654,705498,524749,0
2021-02-01 13:00:00,77279.0,17874.0,272170.0,275788.0,42391.0,1770266,706923,566124,0
2021-02-01 13:10:00,78781.0,17286.0,280579.0,282596.0,43444.0,1698717,654821,570326,0
2021-02-01 13:20:00,81070.0,17164.0,276934.0,278057.0,44394.0,1715677,648724,565658,0
2021-02-01 13:30:00,81408.0,17096.0,278380.0,281101.0,44656.0,1710296,645028,570495,0
2021-02-01 13:40:00,81160.0,16894.0,278035.0,280515.0,44477.0,1672674,631203,569199,0
2021-02-01 13:50:00,82249.0,16919.0,284291.0,286627.0,45224.0,1691366,643179,574952,0
2021-02-01 14:00:00,82274.0,17090.0,286488.0,288964.0,46109.0,1703815,645884,589233,0
2021-02-01 14:10:00,82228.0,16618.0,284826.0,287631.0,45723.0,1662371,619931,582475,0
2021-02-01 14:20:00,82686.0,16789.0,285190.0,288171.0,45331.0,1661136,616091,576636,0
2021-02-01 14:30:00,82169.0,17056.0,285168.0,288266.0,45208.0,1685119,622132,577305,0
2021-02-01 14:40:00,81756.0,16813.0,285394.0,288900.0,44573.0,1676420,621278,575084,0
2021-02-01 14:50:00,83168.0,17641.0,287227.0,289169.0,45233.0,1684904,641502,578956,0
2021-02-01 15:00:00,84772.0,18174.0,296622.0,299044.0,46217.0,1723582,662842,598914,0
